SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 05-Jul-2023,113.49,116.0,119.0,116.0,119.0,119.0,117.87,98,0.12,5, 98, 100.00
20MICRONS, BE, 05-Jul-2023,93.2,93.9,95.0,92.45,93.25,93.8,93.29,36003,33.59,216, -, -
21STCENMGM, EQ, 05-Jul-2023,22.4,21.95,21.95,21.95,21.95,21.95,21.95,2387,0.52,13, 2387, 100.00
360ONE, EQ, 05-Jul-2023,482.15,482.6,482.6,471.1,475.0,474.9,475.46,440459,2094.23,9775, 361772, 82.14
3IINFOLTD, EQ, 05-Jul-2023,33.85,33.9,34.1,33.6,33.6,33.75,33.76,250310,84.5,2237, 141897, 56.69
3MINDIA, EQ, 05-Jul-2023,27077.45,27130.4,27450.0,27100.05,27400.0,27326.3,27272.87,1396,380.73,911, 620, 44.41
3PLAND, BE, 05-Jul-2023,20.4,21.2,21.2,19.6,20.5,20.45,20.34,3431,0.7,24, -, -
456GS2023, GS, 05-Jul-2023,99.93,100.0,100.0,100.0,100.0,100.0,100.0,265,0.27,3, 265, 100.00
4THDIM, BE, 05-Jul-2023,16.85,16.55,16.55,16.55,16.55,16.55,16.55,7818,1.29,77, -, -
515GS2025, GS, 05-Jul-2023,96.73,96.0,96.0,96.0,96.0,96.0,96.0,200,0.19,1, 200, 100.00
563GS2026, GS, 05-Jul-2023,97.68,97.55,97.55,97.55,97.55,97.55,97.55,1291,1.26,14, 1291, 100.00
5PAISA, EQ, 05-Jul-2023,368.95,372.65,421.6,366.9,413.7,411.55,406.79,786294,3198.6,27792, 127234, 16.18
622GS2035, GS, 05-Jul-2023,95.0,95.0,95.0,95.0,95.0,95.0,95.0,201,0.19,4, 201, 100.00
63MOONS, EQ, 05-Jul-2023,244.55,243.05,255.7,241.45,246.0,246.9,248.17,719926,1786.66,20236, 252851, 35.12
654GS2032, GS, 05-Jul-2023,99.0,99.49,99.49,99.1,99.4,99.4,99.37,14664,14.57,5, 14664, 100.00
667GS2035, GS, 05-Jul-2023,96.09,96.35,96.35,95.95,95.95,95.95,96.08,218,0.21,22, 218, 100.00
667GS2050, GS, 05-Jul-2023,96.0,96.5,96.5,93.9,94.0,94.0,94.3,15204,14.34,35, 15203, 99.99
669GS2024, GS, 05-Jul-2023,100.0,100.0,100.0,99.6,99.99,99.96,99.97,5335,5.33,26, 5335, 100.00
676GS2061, GS, 05-Jul-2023,98.0,99.0,99.0,98.0,98.0,98.0,98.01,1010,0.99,4, 1010, 100.00
