Category,ETF Symbol
SILVER,SILVERBEES
GOLD,GOLDBEES
NIFTY 50,NIFTYBEES
MIDCAP,MID150BEES
IT,ITBEES
BANK NIFTY,BANKBEES
SMALLCAP,HDFCSML250
NIFTY NEXT 50,JUNIORBEES
NASDAQ,MON100
PSU,PSUBNKBEES
DEFENCE,MODEFENCE
PRIVATE BANK,PVTBANIETF
CPSE,CPSEETF
PHARMA,PHARMABEES
ENERGY,ENERGY
NIFTY 200,MOM30IETF
FMCG,FMCGIETF
METAL,METAL
FIN SERVICES,BFSI
S&P,ICICIB22
HANG SENG,HNGSNGBEES
AUTO,AUTOBEES
REALTY,MOREALTY
NIFTY 500,MOMENTUM50
LOW VOL 30,ALPL30IETF
SENSEX,SENSEXIETF
OIL & GAS,OILIETF
INFRA,INFRAIETF
POWER,GROWWPOWER
MID SMALL CAP,MIDSMALL
CONSUMPTION,CONSUMBEES
NIFTY 100,LOWVOLIETF
HEALTHCARE,HEALTHIETF
EV,EVINDIA
CHEMICAL,CHEMICAL
DIGITAL,TNIDETF
MNC,MNC
MANUFACTURING,MAKEINDIA
INSURANCE,ECAPINSURE
TOURISM,MOTOUR
LARGE MID CAP,MSCIINDIA
ESG,ESG
